cluster_id,convex_hull
71.0,"[[45.764068, 4.781454], [45.765768, 4.779214], [45.770333, 4.78], [45.772216, 4.782016], [45.772011, 4.783922], [45.769044, 4.786794], [45.76613, 4.786605], [45.764463, 4.786047], [45.764199, 4.785447]]"
72.0,"[[45.763666, 4.843], [45.764199, 4.840968], [45.764409, 4.840722], [45.765622, 4.840136], [45.766752, 4.840689], [45.766804, 4.841301], [45.766609, 4.842395], [45.765996, 4.843039], [45.76515, 4.84335], [45.763666, 4.843333]]"
73.0,"[[45.774447, 4.829211], [45.775667, 4.828667], [45.776253, 4.828845], [45.776465, 4.829145], [45.777236, 4.8304], [45.776641, 4.830944], [45.775294, 4.831194], [45.774265, 4.831334], [45.773584, 4.831087], [45.77345, 4.830894], [45.77318, 4.830079], [45.773375, 4.829928], [45.7735, 4.82984]]"
74.0,"[[45.825836, 4.857461], [45.823296, 4.856815], [45.823594, 4.850838], [45.825225, 4.849669], [45.825375, 4.849712], [45.82727, 4.855216]]"
75.0,"[[45.842224, 4.836859], [45.842138, 4.835593], [45.844041, 4.833855], [45.844433, 4.833933], [45.844223, 4.834858], [45.843402, 4.836847]]"
76.0,"[[45.763819, 4.826286], [45.764269, 4.825936], [45.765172, 4.826474], [45.765277, 4.827353], [45.765307, 4.82804], [45.765266, 4.82818], [45.76491, 4.828158], [45.764594, 4.828086], [45.764401, 4.82804], [45.76408, 4.827954], [45.764002, 4.82793], [45.763735, 4.827836], [45.763713, 4.827611], [45.763667, 4.827], [45.763652, 4.826458], [45.763741, 4.826363]]"
77.0,"[[45.743546, 4.87353], [45.741444, 4.868683], [45.74363, 4.868386], [45.746533, 4.868552], [45.746941, 4.868808], [45.747257, 4.872005], [45.745286, 4.873311], [45.744729, 4.873595]]"
78.0,"[[45.826938, 4.822425], [45.821076, 4.824285], [45.822078, 4.814511], [45.823483, 4.812698], [45.826047, 4.819361], [45.826852, 4.822113]]"
79.0,"[[45.683033, 4.794744], [45.666201, 4.798449], [45.672888, 4.779696], [45.673113, 4.779546], [45.679537, 4.785361]]"
80.0,"[[45.772372, 4.925651], [45.774516, 4.91887], [45.790277, 4.924793], [45.780833, 4.930667]]"
