cluster_id,convex_hull
225.0,"[[45.797119, 4.834194], [45.796987, 4.834756], [45.79653, 4.834569], [45.796425, 4.834263], [45.796616, 4.834188], [45.796853, 4.834156]]"
226.0,"[[45.798144, 4.833982], [45.797918, 4.834134], [45.797558, 4.833794], [45.797458, 4.833673], [45.797496, 4.833254], [45.797601, 4.833104], [45.797675, 4.833061], [45.797803, 4.833072], [45.797908, 4.833211], [45.798049, 4.833426]]"
227.0,
228.0,"[[45.796793, 4.841451], [45.796823, 4.841365], [45.796955, 4.841272], [45.796938, 4.841316]]"
229.0,"[[45.740023, 4.845432], [45.739117, 4.846837], [45.737511, 4.845732], [45.736844, 4.84452], [45.738883, 4.844705]]"
230.0,"[[45.735901, 4.845829], [45.731991, 4.845108], [45.733672, 4.845044]]"
231.0,"[[45.737211, 4.86146], [45.739806, 4.858982], [45.740979, 4.859771], [45.739955, 4.861013], [45.737353, 4.861643]]"
232.0,"[[45.736807, 4.805316], [45.736619, 4.805059], [45.738941, 4.806025], [45.740833, 4.807], [45.737855, 4.806196], [45.737511, 4.806005]]"
233.0,"[[45.782504, 4.879206], [45.785003, 4.881191], [45.785044, 4.881938], [45.785033, 4.882135], [45.784108, 4.883563], [45.783481, 4.883009]]"
234.0,"[[45.748177, 4.812644], [45.747044, 4.81133], [45.747666, 4.810833], [45.749166, 4.8115], [45.750163, 4.812344]]"
235.0,"[[45.751662, 4.887907], [45.750243, 4.889028], [45.749133, 4.888144], [45.748655, 4.886322], [45.750297, 4.885586]]"
236.0,"[[45.753585, 4.888744], [45.75561, 4.889141], [45.753855, 4.889345]]"
237.0,"[[45.757193, 4.890906], [45.757167, 4.889167], [45.757667, 4.888833], [45.757833, 4.888833], [45.759, 4.889333], [45.758166, 4.890833]]"
238.0,"[[45.759061, 4.888333], [45.7575, 4.885833], [45.757819, 4.885133], [45.758127, 4.884866], [45.758163, 4.884855], [45.75887, 4.88712]]"
239.0,"[[45.791563, 4.820125], [45.792094, 4.819205], [45.7925, 4.819444], [45.792866, 4.820136], [45.792873, 4.820197], [45.792888, 4.820352], [45.792869, 4.82103]]"
240.0,"[[45.733172, 4.879555], [45.732802, 4.877161], [45.734027, 4.877233], [45.735686, 4.877858], [45.7355, 4.8785]]"
241.0,"[[45.738441, 4.878455], [45.737758, 4.877111], [45.73807, 4.876359], [45.7386, 4.8759], [45.738833, 4.875833], [45.740438, 4.875702], [45.740508, 4.875852]]"
242.0,"[[45.735211, 4.872895], [45.733796, 4.87396], [45.73515, 4.871619], [45.735188, 4.871658]]"
243.0,"[[45.730628, 4.872779], [45.732495, 4.873929], [45.7314, 4.874142], [45.731048, 4.87353]]"
